site,yr
IT-Cpz,2005
IT-Cpz,2006
IT-Lav,2000
IT-Lav,2001
IT-Lav,2002
IT-Lav,2004
IT-Lav,2006
IT-Lec,2005
IT-Lec,2006
IT-LMa,2003
IT-LMa,2004
IT-LMa,2005
IT-LMa,2006
IT-Mal,2003
IT-Mal,2004
IT-Mal,2005
IT-Mal,2006
IT-MBo,2003
IT-MBo,2004
IT-MBo,2005
IT-MBo,2006
IT-Non,2001
IT-Non,2002
IT-Non,2003
IT-Non,2006
IT-Pia,2002
IT-Pia,2003
IT-Pia,2004
IT-Pia,2005
IT-PT1,2002
IT-PT1,2003
IT-PT1,2004
IT-Ren,1999
IT-Ren,2000
IT-Ren,2001
IT-Ren,2002
IT-Ren,2003
IT-Ren,2004
IT-Ren,2005
IT-Ren,2006
IT-Ro1,2000
IT-Ro1,2001
IT-Ro1,2002
IT-Ro1,2003
IT-Ro1,2004
IT-Ro1,2005
IT-Ro1,2006
IT-Ro2,2002
IT-Ro2,2003
IT-Ro2,2004
IT-Ro2,2005
IT-Ro2,2006
IT-SRo,1999
IT-SRo,2000
IT-SRo,2001
IT-SRo,2002
IT-SRo,2003
IT-SRo,2004
IT-SRo,2005
IT-SRo,2006
NL-Ca1,2003
NL-Ca1,2004
NL-Ca1,2005
NL-Ca1,2006
NL-Haa,2003
NL-Haa,2004
NL-Hor,2004
NL-Hor,2005
NL-Hor,2006
NL-Lan,2005
NL-Lan,2006
NL-Loo,1996
NL-Loo,1997
NL-Loo,1998
NL-Loo,1999
NL-Loo,2000
NL-Loo,2001
NL-Loo,2002
NL-Loo,2003
NL-Loo,2004
NL-Loo,2005
NL-Loo,2006
NL-Lut,2006
NL-Mol,2005
NL-Mol,2006
PL-wet,2004
PL-wet,2005
PT-Esp,2002
PT-Esp,2003
PT-Esp,2004
PT-Esp,2006
PT-Mi1,2003
PT-Mi1,2004
PT-Mi1,2005
PT-Mi2,2004
PT-Mi2,2005
PT-Mi2,2006
RU-Cok,2003
RU-Cok,2004
RU-Cok,2005
RU-Fyo,1998
RU-Fyo,1999
RU-Fyo,2000
RU-Fyo,2001
RU-Fyo,2002
RU-Fyo,2003
RU-Fyo,2004
RU-Ha1,2002
RU-Ha1,2003
RU-Ha1,2004
RU-Ha2,2002
RU-Ha2,2003
RU-Ha3,2004
RU-Zot,2002
RU-Zot,2003
RU-Zot,2004
SE-Deg,2001
SE-Deg,2002
SE-Deg,2003
