sitename,longname,country, Years Of Data,AG_NPP,ASA,CLIMATE,,,DEP_N,,,ELEV,FOL_N,HEIGHTC,IGBP,LAI,LAI_U,LAT,LMA,LONG,MaxSA,MinSA,PRECIP,TA,,,YEAR_PLANTED,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,SOIL_BD,SOIL_C,,SOIL_PH,,SOIL_THICKNESS,AG_BIOMASS,SOIL_C,,SOIL_DEPTH,SOIL_TYPE,SOIL_WATER_CAP
,,,Site Years in Synthesis Dataset,Aboveground net primary productivity,Average stand age,Climate group,Climate Koeppen classification,,Foliage nitrogen deposition (dry),Foliage nitrogen deposition (total),Foliage nitrogen deposition (wet),Elevation (text),Foliage nitrogen concentration,Canopy height (text),IGBP Class,Leaf Area Index,Understory Leaf Area Index,Latitude,Leaf mass per unit leaf area,Longitude,Maximum stand age,Minimum stand years,Precipitation (local climate),Air Temperature (avg local climate),Air Temperature (max local climate),Air Temperature (min local climate),Year replanted,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Soil bulk density,Soil Carbon stock,Soil Carbon stock (mg g-1),Soil PH (CaCl2),Soil PH (H2O),Soil horizon or layer thickness,Aboveground biomass,Soil Carbon stock,Soil Carbon stock (%),Soil depth,Soil type,Soil water holding capacity
,,,(none),(none),(none),_group,_KOEPPEN_406,,_dry,_total,_wet,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),_locclim,_avg_locclim,_max_locclim,_min_locclim,(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),_mg_g-1,_CaCl2,_H2O,(none),(none),(none),_PERC,(none),(none),(none)
CG-Tch,Tchizalamou,Republic of Congo,1,,,Tropical,Aw,,,,,,,,OSH,,,-4.28917,,11.6564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH-Oe1,Oensingen1 grass,Switzerland,5,,,Temperate,Cfb,,,,,450,,,GRA,4.85,,47.2856,,7.73214,,,944.66,9.13,13.5,5.14,,43,19-24,33-38,1.15,,,,7,,,0.2,44,18-23,33-38,1.2,,,,7,,,0.8,,,,,,,0.58,,,2,Eutri-Stagnic Cambisol,
CH-Oe2,Oensingen2 crop,Switzerland,1,,,Temperate,Cfb,,,,,452,,,CRO,,,47.2863,,7.73433,,,943.73,9.14,13.51,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-Anh,Anhui Huaining,China,2,,,SubTropical-Mediterranean,Cwa,,,,,,,,DBF,,,33,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-Bed,Beijing Daxing,China,2,,11,Temperate-Continental with hot or warm summers,Dwa,,,,,30,,,EBF,,,39.5306,,116.252,,,581.87,12.46,18.18,6.9,,sandy soil,sandy soil,sandy soil,,,,,,,sand,,sandy soil,sandy soil,sandy soil,,,,,,,sand,,,,,,,,,,,,,
CN-Cha,Changbaishan,China,1,,200-460,Temperate-Continental with hot or warm summers,Dwb,,,,,761,,,MF,5.8-6.1,,42.4025,,128.096,460,,663.59,2.16,7.7,-6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark brown forest soil originating from volcanic ashes,
CN-Do1,Dongtan 1,China,1,,,SubTropical-Mediterranean,Cfa,,,,,2-5,15.4,,GRA,5.13,,31.5167,,121.961,,,1038.83,15.4,19.27,12.73,,11.9,55.4,32.7,,,0.485,,8.58,,,0.1,,,,,,,,,,,,,,,,,,0.836,6.955294,,,,
CN-Do2,Dongtan 2,China,1,,,SubTropical-Mediterranean,Cfa,,,,,2-5,18.6,,GRA,3.43,,31.5847,,121.903,,,1041.77,15.39,19.22,12.63,,30,29.9,40.1,,,0.655,,8.43,,,0.1,,,,,,,,,,,,,,,,,,0.779,6.099658,,,,
CN-Do3,Dongtan 3,China,1,,,SubTropical-Mediterranean,Cfa,,,,,2-5,16.6,,GRA,1.63,,31.5169,,121.972,,,1038.58,15.39,19.26,12.73,,4.1,82.3,13.6,,,0.255,,8.62,,,0.1,,,,,,,,,,,,,,,,,,0.373,5.72216,,,,
CN-Du1,Duolun_cropland,China,2,,,Temperate-Continental with hot or warm summers,Dwb,,,,,1350,,,CRO,1.2,,42.0456,,116.671,,,336.56,2.13,9.09,-3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chestnut Soil,
CN-Du2,Duolun_grassland,China,1,,,Temperate-Continental with hot or warm summers,Dwb,,,,,1350,,,GRA,0.47,,42.0467,,116.284,,,318.96,2.01,8.84,-4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chestnut Soil,
CN-HaM,Haibei Alpine Tibet site,China,3,,,Arctic,ET,,,,,,,,GRA,,,37.37,,101.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-Hny,Hunan Yueyang,China,2,,,SubTropical-Mediterranean,Cfa,,,,,,,,DBF,,,29.31,,112.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-Ku1,Kubuqi_populus forest,China,2,,,Dry (arid and semi arid),BSk,,,,,1020,,,EBF,0.23,,40.5383,,108.694,,,249.47,7.27,13.68,0.66,2001,,,,,,,,,,sand,,,,,,,,,,,sand,,,,,,,,,,,,sandy dune,
CN-Ku2,Kubuqi_shrubland,China,1,,,Dry (arid and semi arid),BSk,,,,,1160,,,OSH,0.2,,40.3808,,108.549,,,247.32,7.22,13.33,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-Xfs,Xilinhot Inner Mongolia fenced typical steppe,China,3,,,Dry (arid and semi arid),BSk,,,,,,,,,,,44.1341667,,116.3286111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-Xi1,Xilinhot fenced steppe (X06),China,1,,,Temperate-Continental with hot or warm summers,Dwb,,,,,1250,,,GRA,0.26,,43.545833,,116.677778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chestnut soil,
CN-Xi2,Xilinhot grassland site (X03),China,1,,,Temperate-Continental with hot or warm summers,Dwb,,,,,1250,,,GRA,0.25,,43.5544,,116.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chestnut soil,
CZ-BK1,Bily Kriz- Beskidy Mountains,Czech Republic,7,0.228,29,Temperate-Continental with hot or warm summers,Dfb,,,9.853,,908,11.4,,ENF,9.8,0.2,49.5026,176-230,18.5384,,,1025.75,4.72,16.97,-4.44,1978,20.64,21.68,57.68,0.93,4.25255808,,4.4,,,,0.16,20.76,55.32,23.92,0.96,7.74134325,,4.35,,,,0.23,,1.253077,,,4.8,0.06,9.56,13.247,,0.55,"Entic Podzols, Haplic Podzols",
CZ-BK2,Bily Kriz- grassland,Czech Republic,3,,,Temperate-Continental with hot or warm summers,Dfb,,,9.853,,855,11.18,,GRA,3.9,,49.4953,93.4,18.5447,,,,5.5,,,,22.4,52.2,25.4,0.88,5.10154,,4.07,4.91,,,0.2,32.1,42.4,25.5,1.23,8.021,,4.08,,,loam,0.5,,0.884075,,,,0.08,0.49,14.066,,0.78,"Haplic Podzols, Gleyic Luvisol",
CZ-wet,CZECHWET,Czech Republic,1,,400,Temperate,Cfb,,,,,420,,,WET,3,,49.025,,14.772,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5- 0.7 ,,,,,
DE-Bay,Bayreuth-Waldstein/WeidenBrunnen,Germany,4,,54,Temperate,Cfb,,6.59785,,13.535,775,,23,ENF,5.3,0.31,50.1419,,11.8669,,,1159.35,5.15,9.89,1.43,1953,10.4,51.6,38,0.95,2.74,5.91,2.9,3.7,2.7,sandy loam to loam,0.1,11,45,44,1.04,8.03,,4.1,4.43,3.825,loam,0.45,,6.01,,3.03333,3.93333,0.085,17.71,17.02,,0.7,Haplic Podzol,20.5214
DE-Geb,Gebesee,Germany,3,,,Temperate,Cfb,,,,,161.5,,,CRO,,,51.1001,,10.9143,,,443.94,8.74,12.65,4.76,,29.1,,,1.31,7.85,,,,,,0.3,,,,1.26367,4.935,,,,,,,,,,,,,,12.79,,1,Chernozem,18.5
DE-Gri,Grillenburg- grass station,Germany,2,,,Temperate,Cfb,,,,,385,,,GRA,4.93,,50.9495,,13.5125,,,668.29,7.64,14.01,1.7,,7.15,12.25,80.65,,,,,,,,0.23,11,12.9,76,,,,,,,,,,,,,,,0.35,,,1.35,Stagnic Umbrisol (pseudo-gley),
DE-Hai,Hainich,Germany,7,,64-250,Temperate,Cfb,,,,,430,,,DBF,6.08,,51.0793,,10.452,250,64,780.29,7.15,11.6,3.67,1869,42.3333,3.66667,54,0.932,,,,5.67,,,0.15,46.4,4.4,49.2,1.21589,,,,7.08857,,,,,,,,,,35.648,12.2,,0.48-0.71,Cambisol,
DE-Har,Hartheim,Germany,2,,43,Temperate,Cfb,,,,,201,,,ENF,,,47.9344,,7.601,,,,,,,1963,sandy loam,sandy loam,sandy loam,1.0-1.4,,,7.6-8.3,,,sandy loam,0.4,,,,,,,,,,sandy loam,,,,,,,,,,,0.14-0.88,2-layer calcaric regosol,80
DE-Kli,Klingenberg,Germany,3,,,Temperate,Cfb,,,,,480,,,CRO,,,50.8929,,13.5225,,,702.02,7.13,13.36,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE-Meh,Mehrstedt 1,Germany,4,,3,Temperate,Cfb,,,,,286,,,MF,,,51.2753,,10.6555,,,695.35,7.83,11.86,4.06,2003,,,,1,,,,6.7-7.2,,loamy clay,0.4 m,,,,1,,,,6.7-7.2,,,,,,,,,,,,,0.6-1.3,Stagnic Vertisol,
DE-Tha,Tharandt- Anchor Station,Germany,11,,108,Temperate,Cfb,,,,,380,,,ENF,7.6,,50.9636,,13.5669,,,643.09,8.12,14.63,1.67,1891,11.8,17,71.2,1.003,,5.826,,3.595,,,0.06,18.87,10.9532,70.17,1.46866,,0.78067,,4.04,,,1.09,0.260105,,707.98,,3.545,0.06,21.3,,,1.15,Cambic podzol,
DE-Wet,Wetzstein,Germany,5,0.4942,45,Temperate,Cfb,,,,,785,,,ENF,,,50.4535,1024,11.4575,,,870.55,5.74,9.96,2.27,1955,,,,0.2735,,,,3.68,,0.1,,,,,0.377,,,,3.97,,,,,5.29,,,4.07667,,9.797,10.24,,0.44,Brown soil-Podzol,
DK-Fou,Foulum,Denmark,1,,,Temperate,Cfb,,,,,51,,,CRO,,,56.4842,,9.58722,,,742.04,7.59,10.26,4.53,,8,54,32,1.03,,,,5.4,,,0.31,9.66187,67.705,21.554,1.78799,,,,4.56691,,,1.39,,,,,,,,14.6,,5,Anthric Umbrisol,
DK-Lva,Lille Valby (Rimi),Denmark,2,,,Temperate,Cfb,,,13,,15,,,GRA,6.87,,55.6833,,12.0833,,,559.49,8.28,11.79,3.83,,18,45,37,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy Umbrisol,
DK-Ris,Risbyholm,Denmark,2,,,Temperate,Cfb,,,,,10,,,CRO,,,55.5303,,12.0972,,,581.53,8.23,11.73,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Agrisol,
DK-Sor,Soroe- LilleBogeskov,Denmark,11,,85,Temperate,Cfb,,,2.17,,40,0.21,,DBF,5,0.5,55.4869,0.012-0.028,11.6458,,,573.44,8.03,10.93,4.57,1921,10,70,20,,,,,,,sandy loam,0.2,10,65,25,,,,,,,sandy clay loam,0.2-0.6,,,,,,0.1-0.4,,20,,0.75,Cambisol,
ES-ES1,El Saler,Spain,8,,5-120,SubTropical-Mediterranean,Csa,,,4.61-4.75,,10,,,ENF,2.63,1,39.346,,-0.31881,120,5,456.77,17.69,22.25,13.17,,0.14,71.65,28.21,,,,,8,7.5,,0.1,0.47,73.13,26.4,,,,,8.3,7.7,,1,,,,,,,2.44,,,1,calcareous arenosol,
ES-ES2,El Saler-Sueca,Spain,3,,,SubTropical-Mediterranean,Csa,,,4.7,,10,,,CRO,3.015,,39.2755,69,-0.31522,,,465.27,17.77,22.39,13.08,,31.5,21.5,47,,,,,7.1,6.4,,0.45,52.4,5.7,41.9,,,,,7.4,6.7,,0.8,,,,,,0,1.6605,,,2,Fluvisol calcareo gleico,
ES-LJu,Llano de los Juanes,Spain,1,,,SubTropical-Mediterranean,Csa,,,,,1600,,,OSH,1.45,,36.9282,,-2.75047,,,490.94,16.5,21.53,5.55,,41.5033,13.6667,44.8267,1.11,,,,,,,0.1,60.4533,12.57,26.98,1.11,,,,,,,0.6,,,,,,,,,,0.35-1,Lithic Haploxeroll ,18.55
ES-LMa,Las Majadas del Tietar,Spain,3,,50-150,SubTropical-Mediterranean,Csa,,,2.12-3.96,,260,13.2,,SAV,2,1.45,39.9415,225,-5.77336,150,50,369.89,16.45,22.25,10.61,,,,,1.59,,,,5.5,,sandy clay,,,,,1.59,,,,6,,sandy clay,,,,,,,,3.37,3.32,,0.8,Stagnic Alisols,
ES-VDA,Vall d'Alinya,Spain,3,,,Temperate,Cfb,,,,,1770,,,GRA,1.35,,42.1522,,1.4485,,,663.02,5.36,9.12,1.83,,,,,,,,6.7,,,clay loam,0.15,,,,,,,,8,,clay loam,0.23,,,,,,,0.49,,,0.4,Lithic Cryrendoll,
FI-Hyy,Hyytiala,Finland,11,0.65,45,Boreal,Dfc,,,5,,181,12,,ENF,6.7,1.4,61.8474,71,24.2948,,,620.2,2.18,9.57,-1.91,1962,9.4,60.5,17.5,0.6,1.8,,4.34,,,0.05,0.05,7,51.6,13.4,1.03,1,,4.52,,,,0.17-0.3,0.13,2.3,,3.34,,0.054,8.16,5.6,,1.55,Haplic podzol,193
FI-Kaa,Kaamanen wetland,Finland,7,,,Boreal,Dfc,,,610,,155,,,WET,0.7,,69.1407,212,27.295,,,454.35,-1.4,2.26,-4.43,,,,,0.06,,,,3.7-5.2,,,0.2,,,,0.105-0.156,,,,,,,,0.06,60,,3.7-5.2,,1-1.5,0.25,60,,1-1.5,histosol,
FI-Sii,Siikaneva fen,Finland,2,,,Boreal,Dfc,,,4,,,,,GRA,0.4,Areal coverage of mosses 96%,61.833,230,24.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,105,,3.6,,3,0.25,,,,Histosol,
FI-Sod,Sodankyla,Finland,7,0.08,50-160,Boreal,Dfc,,,1190,,180,,,ENF,1.2,0.2,67.3619,250,26.6378,160,50,525,-1.13,2.58,-4.42,,0.5,88.12,6,1.2,1.48,,,,,,0.1,0.233333,92.4333,3.23333,1.51,0.86,,,,,,0.3,,0.58,,,,,3.9,3.14,,1.5,Haplic podzol,
FR-Aur,Aurade,France,1,,,Temperate,Cfb,,,,,,,,CRO,,,43.5494,,1.10778,,,673.34,12.16,17.13,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR-Fon,Fontainebleau,France,2,,100-140,Temperate,Cfb,,,,,90,,,DBF,5.055,,48.4763,,2.78015,140,100,644.79,10.8,15.3,6.5,,13.56,39.0675,47.3725,1.4485,10.24,,,4.57,,,0.2,27.0167,33.9333,39.05,1.50333,2.64,,,4.8,,,0.6,,,,,,,0.115,,,0.8,Gleyic Luvisol,
FR-Gri,Grignon  (after 6/5/2005),France,2,,,Temperate,Cfb,,,,,125,2.595-4.33,,CRO,,,48.844,,1.95243,,,769.21,10.2,14.49,6.27,,,,,1.35,,,,,,,,,,,1.35,,,,,,,,,,,,,,1.592,,,1.5,luvisol,
FR-Hes,Hesse Forest- Sarrebourg,France,10,,39,Temperate,Cfb,,,,,300,2.21,,DBF,6.7,,48.6742,,7.06462,,,793.3,9.24,13.64,5.08,1966,22.2,8,69.8,1.197,,,4.9,,,,0.1,30.8857,6.01429,63.1,1.44014,,,,4.62857,,,0.7,,,,,,,8.72,7.17,,1.45,luvisol/stagnic luvisol,
FR-Lam,Lamasquere,France,1,,,Temperate,Cfb,,,,,,,,CRO,,,43.4933,,1.23722,,,702.83,12.69,17.69,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR-LBr,Le Bray (after 6/28/1998),France,8,1.6-2.4 ,37,Temperate,Cfb,,,,,61,1.1,,ENF,3,1.5,44.7171,176,-0.7693,,,923.54,12.49,17.49,7.73,1970,1,97,2,1.45,8.6,,,4.2,,,0.3,0.5,97,2.5,1.65,2.63,,,4.4,,,0.2,1.3,1.8,,,,0.1,14.6,18.7,,1.2,Spodosol,140
FR-Lq1,Laqueuille,France,3,,,Temperate,Cfb,,,,,1040,,,GRA,2.45,,45.6441,,2.73703,,,729.82,8.3,12.94,3.61,,17.2,25.5,57.3,0.84669,,5.348,,,,,0.36,9.9,29.9,60.2,1.205,,4.71,,,,,0.15,0.591,,107.42,,,0.07,0.356,,6.184,0.67,Andosol,
FR-Lq2,Laqueuille extensive,France,3,,,Temperate,Cfb,,,,,1040,,,GRA,2.28,,45.6392,,2.73703,,,,8,,,,17.2,25.5,57.3,0.84669,,7.874,,,,,0.36,9.9,29.9,60.2,1.205,,5.39,,,,,0.15,0.591,,109.01,,,0.07,0.4164,,7.475,0.67,Andosol,
FR-Pue,Puechabon,France,7,0.2,64,SubTropical-Mediterranean,Csa,,,,,270,0.123,,EBF,2.9,1,43.7414,240,3.59583,,,734.55,12.96,17.97,8,1943,38.6,14.1,39.4,,,,7.3,,,,0.15,40.7,14,30.9,,,,7.7,,,,0.35,,,,,,0.017,11.3,6.1,,0.5,rhodo-chromic luvisol ,210
GF-Guy,Guyaflux,French Guyana,3,0.3,2-500,Tropical,Af,,,,,35,1.6,,EBF,,,5.2777,50,-52.9288,500,2,2559.88,25.83,30.52,22.57,,21,72,7,,,0.75,,4.8,4.3,,0.5,37,43,20,,,0.25,,5,,,1,,,,,,0.1,43.75,,,5,Ferric acrisol,
HU-Bug,Bugacpuszta,Hungary,5,,,Temperate,Cfb,,,,,140,,,GRA,1.5,,46.6911,,19.6013,,,555.03,10.47,17.21,4.69,,20,60,20,1.3,,,,7.7,,,,20,60,20,1.3,,,,7.7,,,,,,,,,,,,,0.25,Alfisol,
HU-Mat,Matra,Hungary,3,,,Temperate,Cfb,,,,,350,,,GRA,,,47.8469,,19.726,,,558.29,8.86,17.62,0.41,,,,,1.3,,,,5.92,,,,,,,1.3,,,,5.92,,,,,,,,,,,,,,silty clay loam,
ID-Pag,Palangkaraya,Indonesia,2,,,Tropical,Af,,,,,30,,,EBF,5.6,,2.345,,114.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Tropical peat,
IE-Ca1,Carlow1,Ireland,3,,,Temperate,Cfb,,,,,50,0.2339-0.2613,,CRO,4.95,,52.8588,,-6.91814,,,,9.4,,,,15,61,24,1.4179894,,,,7.31,,,0.15,13.2,65.8,21,1.5142722,,,,7.555,,,0.25,,,,,,,11.45,4.149,,1.5,Eutric Cambisol,
IE-Dri,Dripsey,Ireland,3,,,Temperate,Cfb,,,,,187,,,GRA,,,51.9867,,-8.75181,,,1084.3,9.18,13.91,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL-Yat,Yatir,Israel,6,,35,Dry (arid and semi arid),BSh,,,,,650,,,ENF,2.5,,31.345,,35.0515,,,276.77,17.56,23.61,11.51,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4-2,Rendzina,
IS-Gun,Gunnarsholt,Iceland,3,,,Temperate,Cfc,,,,,78,,,DBF,1.4,,63.8333,,-20.2167,,,1214.12,4.4,15.12,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,Andisol,
IT-Amp,Amplero  (after 6/28/2004),Italy,5,,,SubTropical-Mediterranean,Cfa,,,,,884.231,,,GRA,2.125,,41.9041,152,13.6052,,,945.02,10.6,14.87,6.3,,56.77,10.73,32.49,1.05,5.2,,,6.66,,,0.38,55.7716,10.2732,33.9552,1.23,1.7,,,6.89,,,0.33,1.02,4.1,,6.24,,0.09,0.31,15.4,,0.8,Haplic Phaeozems,
IT-BCi,Borgo Cioffi,Italy,3,,,SubTropical-Mediterranean,Csa,,,,,20,,,CRO,5.8,,40.5238,,14.9574,,,735.39,16.31,21.43,11.16,,40,40,20,,,,,,,,0.3,40,40,20,,,,,,,,,,,,,,,3.253,,,,,
IT-Be2,Beano 2,Italy,1,,,Temperate,Cfb,,,,,,,,CRO,,,46.0031,,13.0257,,,,,,,,,,,1.25,,,,,,,,,,,1.25,,,,,,,,,,,,,,3.21-4.33,,,,,15
IT-Bon,Bonis,Italy,1,,,SubTropical-Mediterranean,Csa,,,,,1170,,,ENF,,,39.4778,,16.5347,,,1028.64,9.73,13.5,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT-Cas,Castellaro,Italy,1,,,SubTropical-Mediterranean,Cfa,,,,,,,,CRO,,,45.0628472,,8.66853889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2_0,5",Gleysol ,
IT-Col,Collelongo- Selva Piana,Italy,11,,114,SubTropical-Mediterranean,Cfa,,,,,1550,,,DBF,6.1,,41.8494,62.5,13.5881,,,970.88,7.32,11.07,3.24,1891,,,,0.8532153,,,,,,silt loam,0.06,,,,0.8532153,,,,,,"silt loam, silt-clay",0.74,,,,,,,27.3,14.68,,"0,3-1,5",humic alysols,
IT-Cpz,Castelporziano,Italy,8,,,SubTropical-Mediterranean,Csa,,,,,68.253,,,EBF,3.5,,41.7052,,12.3761,,,777.88,15.99,21.09,11.53,,5.44,89.56,5,0.94,1.55,,,6.21,,,0.32,4.46,92.08,3.46,1.49,0.76,,,6.5,,,0.65,0.74,2,,,5.9,0.08,,4.31,,1.05,Haplic arenosols,250
IT-Lav,Lavarone (after 3/2002),Italy,5,1.6,95,Temperate,Cfb,,,,,1353,11,,ENF,8.1,0,45.9553,245,11.2812,,,757.1,8.74,11.42,2.48,1912,29.2654,24.0202,46.7144,0.93575,9.5,,5.73333,5.41667,,,0.35,28.6208,22.1306,49.2486,1.1,2.43,,6.2225,7,,,0.45,,1.79,,4.7,,0.05,47.5,16.46,,1,Humic Umbrisols,
IT-Lec,Lecceto,Italy,2,,,SubTropical-Mediterranean,Cfa,,,,,314,,,EBF,,,43.3046,,11.2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT-LMa,La Mandria,Italy,4,,,Temperate,Cfb,,,,,350,,,DBF,,,45.5813,,7.15463,,,1720.95,-1.99,4.15,-12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT-Mal,Malga Arpaco,Italy,4,,,Temperate,Cfb,,,,,1730,,,GRA,3.9,,46.1167,,11.7028,,,1045.47,5.6,10.78,1.3,,,,,,,,,,,sandy-loam,,,,,,,,,,,sandy-loam,,,,,,,,,,,,Alfisol,
IT-MBo,Monte Bondone,Italy,4,0.292,,Temperate,Cfb,,,,,1550,19.4,,GRA,2.82,,46.0156,176,11.0467,,,1184.96,5.39,10.08,0.78,,25.6602,30.4975,43.8423,0.885,8.2,,5.25333,5.3,,,0.35,27.2589,34.2748,38.4664,1.26094,17.2,,6.02125,5.7,,,0.32,,1.4,,4.2,,0.02,0.508,35,,1,Humic Umbrisols,
IT-Noe,Sardinia/Arca di Noè,Italy,3,,40-45,SubTropical-Mediterranean,Csa,,,,,28,10,,CSH,3,,40.606,0.4,8.151,45,40,,,,,,74.3,12.7,13,1.072,,,,6.38,,,0.05,71.2,13.1,15.7,1.341,,,,6.57,,,0.2,,,,,,,2,,,0.35,"Epileptic Chromic Luvisols (WRB, 1999)",
IT-Non,Nonantola,Italy,4,,8,SubTropical-Mediterranean,Cfa,,,,,25,,,DBF,1.7,,44.6898,,11.0887,,,741.77,13.56,18.51,9.31,1992,,,,,,,,,,clay,,,,,,,,,,,clay,,,,,,,,,,,,Eutric vertisol,
IT-Pia,Island of Pianosa,Italy,4,,,SubTropical-Mediterranean,Csa,,,,,18,9,,OSH,4,,42.5839,,10.0784,,,670.82,16.9,19.1,14.58,,15,61,24,1.08,4.5,,6.8,,,,0.25,,,,,,,,,,,,,,,,,,1.1,1.02,,0.25,LEPTOSOLS,
IT-PT1,Zerbolo-Parco Ticino- Canarazzo,Italy,3,,13,SubTropical-Mediterranean,Cfa,,,13,,60,,,DBF,2,0,45.2009,,9.06104,,,973.31,13.27,17.61,9.44,1990,10,58,32,1.1,1.21,,5.8,6.4,5.8,,0.1,9,62,31.5,1.15,3.38,,5.6,6.36667,,,0.4,,,,,,0,,4.59,,0.5,Entisol (typic Ustipsamments),
IT-Ren,Renon/Ritten (Bolzano),Italy,8,,0-185,Temperate,Cfb,,,1.22,,1730,,,ENF,5.11,0.5,46.5878,1340,11.4347,185,0,964.67,6.21,12.02,1.81,,14.2,47.1,38.7,0.377,,,,,,,0.05,11.1,51.4,37.6,0.941,,,,,,,0.24,,,,,,0.04,18.77,15.2,,0.5,Haplic Podsol,65
IT-Ro1,Roccarespampani 1,Italy,7,,7,SubTropical-Mediterranean,Csa,,,,,234.771,,,DBF,3.03,1.27,42.4081,,11.93,,,763.66,15.35,19.64,11.08,2000,32.0519,35.6098,32.3383,1.29478,1.3,,,6.9,,,0.16,50.99,20.47,28.54,1.25,4.4,,,6.7,,,0.62,1.29478,3.8,,,6.6,0.04,4.7,11.3,,0.82,Chromic Luvisol,
IT-Ro2,Roccarespampani 2,Italy,5,,,SubTropical-Mediterranean,Csa,,,,,223.903,,,DBF,3.91,0.17,42.3903,,11.9209,,,760.27,15.4,19.66,11.3,2000,32.0519,35.6098,32.3383,1.29478,1.33,,,6.9,,,0.16,50.99,20.47,28.54,1.25,6.59,,,6.68,,,0.62,1.29478,3.92,,,6.6,0.04,9.22,11.84,,0.82,Chromic Luvisol,
IT-SRo,San Rossore,Italy,8,,50-60,SubTropical-Mediterranean,Csa,,,7.6,,4,,,ENF,4.2,0,43.72786,,10.28444,60,50,897.61,14.77,19.8,10.22,1950,4,93,3,1.21,0.442,,7.4,,,,0.1,2,97,1,1.33,0.69,,7.6,,,,0.3,1.11,1.02,,5.8,,0.1,15.8,2.15,,"0,5-3",Regosoil sandy calcareous,
IT-Vig,Vigevano,Italy,2,,,SubTropical-Mediterranean,Cfa,,,,,,,,DBF,,,45.31666667,,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Fluventic Dystrustept,
JP-Mas,"Mase paddy flux site, Tsukuba, Japan (MSE)",Japan,2,1.27,,SubTropical-Mediterranean,Cfa,,,,,12,12-40,,CRO,5.45,0,36.053972,54-58,140.026917,,,1388.87,14.57,19.1,10.63,,,,,0.772,3.3,,,5.3,4.2,clay,0.2,,,,1.006,17.8,,,6.3,5,LiC,0.9,,,,,,none,1.27,23,,,Eutric Fluvisols,
JP-Tak,Takayama,Japan,6,,50,Temperate-Continental with hot or warm summers,Dfb,,,,,1420,12,,DBF,5.5,2,36.1462,,137.423,,,1024.08,6.54,13.61,0.13,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,32.4,,,mesic brown forest soil,
