sitename,longname,country, Years Of Data,AG_NPP,ASA,CLIMATE,,,DEP_N,,,ELEV,FOL_N,HEIGHTC,IGBP,LAI,LAI_U,LAT,LMA,LONG,MaxSA,MinSA,PRECIP,TA,,,YEAR_PLANTED,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,SOIL_BD,SOIL_C,,SOIL_PH,,SOIL_THICKNESS,AG_BIOMASS,SOIL_C,,SOIL_DEPTH,SOIL_TYPE,SOIL_WATER_CAP
,,,Site Years in Synthesis Dataset,Aboveground net primary productivity,Average stand age,Climate group,Climate Koeppen classification,,Foliage nitrogen deposition (dry),Foliage nitrogen deposition (total),Foliage nitrogen deposition (wet),Elevation (text),Foliage nitrogen concentration,Canopy height (text),IGBP Class,Leaf Area Index,Understory Leaf Area Index,Latitude,Leaf mass per unit leaf area,Longitude,Maximum stand age,Minimum stand years,Precipitation (local climate),Air Temperature (avg local climate),Air Temperature (max local climate),Air Temperature (min local climate),Year replanted,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Soil bulk density,Soil Carbon stock,Soil Carbon stock (mg g-1),Soil PH (CaCl2),Soil PH (H2O),Soil horizon or layer thickness,Aboveground biomass,Soil Carbon stock,Soil Carbon stock (%),Soil depth,Soil type,Soil water holding capacity
,,,(none),(none),(none),_group,_KOEPPEN_406,,_dry,_total,_wet,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),_locclim,_avg_locclim,_max_locclim,_min_locclim,(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),_mg_g-1,_CaCl2,_H2O,(none),(none),(none),_PERC,(none),(none),(none)
BR-Ma2,Manaus - ZF2 K34,Brazil,7,1.54,,Tropical,Af,,,,,120,1.9,35,EBF,5.16,,-2.6091,,-60.2093,,,2251.72,26.68,31.52,22.9,,65,,,,,3.3,,3.9,,clay,0.1,,,,,,,,,,clay,,,,,,,,,,,,clay latosol,
BR-Sa1,Santarem-Km67-Primary Forest,Brazil,3,,,Tropical,Am,,,,,,,35,EBF,5.18,,-2.85667,,-54.9589,,,2074.79,26.13,30.65,21.34,,,,,,,,,,,clay,,approximately 68% ... is on clays or clay loams (ultisols and oxisols) and 32% on sands and sandy loams (ultisols).,approximately 68% ... is on clays or clay loams (ultisols and oxisols) and 32% on sands and sandy loams (ultisols).,approximately 68% ... is on clays or clay loams (ultisols and oxisols) and 32% on sands and sandy loams (ultisols).,,,,,,,clay,,,,,,,,29.11,,,,clay latosol,
BR-Sa2,Santarem-Km77-Pasture,Brazil,2,,,Tropical,Am,,,,,,,0-0.6,CRO,4.91,,-3.0119,,-54.5365,,,2168.5,26.07,30.66,21.73,,,,,,,,,,,clay,,,,,,,,,,,clay,,,,,,,,0.798718,,,,clay latosol,
BR-Sa3,Santarem-Km83-Logged Forest,Brazil,4,,,Tropical,Am,,,,,,,35,EBF,5.21,,-3.01803,,-54.9714,,,2043.77,26.12,30.75,21.38,,,,,,,,,,,clay,,clay,clay,clay,,,,,,,clay,,,,,,,,40.8,,,,clay latosol,
BR-Sp1,Sao Paulo Cerrado,Brazil,2,,,Tropical,Aw,,,,,690,,12,WSA,4.38,,-21.6195,,-47.6499,,,1420.19,20.86,27.87,15.59,,,,,,,,,,,silty sand,,,,,,,,,,,silty sand,,,,,,,,,,,, latosol,
BW-Ghg,Ghanzi Grass Site,Botswana,1,,,Dry (arid and semi arid),BSh,,,,,,,,SAV,1.1,,-21.51,,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW-Ghm,Ghanzi Mixed Site,Botswana,1,,,Dry (arid and semi arid),BSh,,,,,,,,WSA,0.7,,-21.2,,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW-Ma1,Maun- Mopane Woodland,Botswana,3,,,Dry (arid and semi arid),BSh,,,,,950,27.3,,WSA,0.9-1.3,"unknown, understorey is fairly unsubstantial, annual grasses; max. cover 15%",-19.9155,105.263,23.5605,,,493.48,22.38,30,14.53,,,,,1.3-1.8,0.2-0.5,,,5-7,,sand,,,,,,1.5,,,,,sand,,,,,,,,,,,,sand,5-20
CA-Ca1,British Columbia- Campbell River - Mature Forest Site,Canada,9,,58,Temperate,Cfb,,,,,300,,,ENF,8.4,1.3,49.8672,,-125.334,,,1369.24,9.93,13.4,5.68,1949,Gravelly loamy sand,Gravelly loamy sand,Gravelly loamy sand,,,7.8-7.4,,,,Gravelly loamy sand,0.15,Gravelly loamy sand,Gravelly loamy sand,Gravelly loamy sand,,,,,,,Gravelly loamy sand,,,244 - 527,244-527,,,0.009-0.193,8.5-23.0,,,,Humoferric Podzols,
CA-Ca2,British Columbia- Campbell River - Clearcut Site,Canada,6,,7,Temperate,Cfb,,,,,300,,,ENF,0.5-2.2,,49.8705,,-125.291,,,1474.26,9.86,13.27,6.28,2000,Gravelly loamy sand to sand,Gravelly loamy sand to sand,Gravelly loamy sand to sand,,,3.2-10.5,,,,Gravelly loamy sand to sand,0.15,Gravelly loamy sand to sand,Gravelly loamy sand to sand,Gravelly loamy sand to sand,,,,,,,Gravelly loamy sand to sand,,,401 - 496,401-496,,,0.006-0.172 ,0.1-0.4 ,,,,Humoferric Podzols,
