Site_ID,Name,Country,Latitude,Longitude,Elevation,IGBP_class,Climate_class,Climate_group
CA-Gro,Ontario- Groundhog River-Mat. Boreal Mixed Wood,Canada,48.21670151,-82.1556015,-999.9,MF,Dfb,Temperate-Continental with hot or warm summers
CA-Let,Lethbridge,Canada,49.70930099,-112.9400024,960,GRA,Dfb,Temperate-Continental with hot or warm summers
CA-Man,BOREAS NSA - Old Black Spruce,Canada,55.87960052,-98.48079681,259,ENF,Dfc,Boreal
CA-Mer,Eastern Peatland- Mer Bleue,Canada,45.40940094,-75.51860046,70,WET,Dfb,Temperate-Continental with hot or warm summers
CA-Na1,New Brunswick- Nashwaak Lake 1,Canada,46.47219849,-67.09999847,341,ENF,Dfb,Temperate-Continental with hot or warm summers
CA-Na2,New Brunswick- Nashwaak Lake 2,Canada,46.47579956,-67.07689667,-999.9,MF,Dfb,Temperate-Continental with hot or warm summers
CA-NS1,UCI-1850 burn site,Canada,55.87919998,-98.48390198,260,ENF,Dfc,Boreal
CA-NS2,UCI-1930 burn site,Canada,55.90579987,-98.52469635,260,ENF,Dfc,Boreal
CA-NS3,UCI-1964 burn site,Canada,55.9117012,-98.38220215,260,ENF,Dfc,Boreal
CA-NS4,UCI-1964 burn site wet,Canada,55.9117012,-98.38220215,260,ENF,Dfc,Boreal
CA-NS5,UCI-1981 burn site,Canada,55.86309814,-98.48500061,260,ENF,Dfc,Boreal
CA-NS6,UCI-1989 burn site,Canada,55.91669846,-98.96440125,-999.9,OSH,Dfc,Boreal
CA-NS7,UCI-1998 burn site,Canada,56.63579941,-99.94830322,-999.9,OSH,Dfc,Boreal
CA-NS8,UCI-2003 burn site,Canada,55.89810181,-98.2161026,-999.9,ENF,Dfc,Boreal
CA-Oas,Sask.- SSA Old Aspen,Canada,53.62889862,-106.197998,530,DBF,Dfc,Boreal
CA-Obs,Sask.- SSA Old Black Spruce,Canada,53.98720169,-105.1179962,628.94,ENF,Dfc,Boreal
CA-Ojp,Sask.- SSA Old Jack Pine,Canada,53.91630173,-104.6920013,579,ENF,Dfc,Boreal
CA-Qcu,Quebec Boreal Cutover Site,Canada,49.26710129,-74.03649902,392.3,ENF,Dfc,Boreal
CA-Qfo,Quebec Mature Boreal Forest Site,Canada,49.69250107,-74.34210205,382,ENF,Dfc,Boreal
CA-SF1,Sask.- Fire 1977,Canada,54.48500061,-105.8180008,536,ENF,Dfc,Boreal
CA-SF2,Sask.- Fire 1989,Canada,54.25389862,-105.8779984,520,ENF,Dfc,Boreal
CA-SF3,Sask.- Fire 1998,Canada,54.09159851,-106.0049973,540,OSH,Dfc,Boreal
CA-SJ1,Sask.- 1994 Harv. Jack Pine,Canada,53.90800095,-104.6559982,580,ENF,Dfc,Boreal
CA-SJ2,Sask.- 2002 Harvested Jack Pine,Canada,53.94499969,-104.6490021,580,ENF,Dfc,Boreal
CA-SJ3,Sask.- SSA 1975 Harv. Yng Jack Pine,Canada,53.87580109,-104.6449966,-999.9,ENF,Dfc,Boreal
CA-TP1,Ontario- Turkey Point Seedling White Pine,Canada,42.66090012,-80.55950165,265,ENF,Dfb,Temperate-Continental with hot or warm summers
CA-TP2,Ontario- Turkey Point Young White Pine,Canada,42.7743988,-80.45880127,212,ENF,Dfb,Temperate-Continental with hot or warm summers
CA-TP3,Ontario- Turkey Point Middle-aged White Pine,Canada,42.70679855,-80.34829712,184,ENF,Dfb,Temperate-Continental with hot or warm summers
CA-TP4,Ontario- Turkey Point Mature White Pine,Canada,42.70980072,-80.35739899,184,ENF,Dfb,Temperate-Continental with hot or warm summers
CA-WP1,Western Peatland- LaBiche-Black Spruce/Larch Fen,Canada,54.9538002,-112.4670029,540,WET,Dfc,Boreal
CA-WP2,Poor Fen,Canada,55.53749847,-112.3339996,-999.9,WET,Dfc,Boreal
CA-WP3,Rich Fen,Canada,54.47000122,-113.3199997,-999.9,WET,Dfc,Boreal
CG-Hin,Eucalyptus of Congo-Hinda,Republic of Congo, TBD, TBD,-999.9, TBD, TBD, TBD
CG-Kis,Eucalyptus of Congo-Kissoko,Republic of Congo, TBD, TBD,-999.9, TBD, TBD, TBD
CG-Tch,Tchizalamou,Republic of Congo,-4.289169788,11.65639973,-999.9,OSH,Aw,Tropical
CH-Cha,Chamau grassland,Switzerland,47.20830154,8.408329964,-999.9,GRA,Cfb,Temperate
CH-Dav,Davos- Seehorn forest,Switzerland,46.81639862,9.856940269,-999.9,MF,,Temperate
CH-Fru,Fruebuel grassland,Switzerland,47.11669922,8.533329964,-999.9,GRA,Cfb,Temperate
CH-Lae,Laegeren,Switzerland,47.47809982,8.364999771,689,MF,Cfb,Temperate
CH-Oe1,Oensingen1 grass,Switzerland,47.28559875,7.732140064,450,GRA,Cfb,Temperate
CH-Oe2,Oensingen2 crop,Switzerland,47.28630066,7.734330177,452,CRO,Cfb,Temperate
CH-Seb,Seebodenalp,Switzerland,47.06669998,8.466670036,1025,GRA,Cfb,Temperate
CN-Anh,Anhui Huaining,China,33,117,-999.9,DBF,Cwa,SubTropical-Mediterranean
CN-Bed,Beijing Daxing,China,39.5306015,116.2519989,30,EBF,Dwa,Temperate-Continental with hot or warm summers
