Missing elevation data gap-filled from gtopo30 1km data
using get_missing_elevation_from_gtopo30.py
Site_ID,Latitude,Longitude,Elevation
FR-Bil,44.4939003,-0.955940008,38.000000
FR-Cou,44.75559998,-0.555559993,20.000000
FR-Fon,48.47629929,2.780149937,90.000000
FR-Gri,48.84400177,1.95243001,125.000000
FR-Hes,48.67419815,7.064620018,300.000000
FR-Lam,43.49330139,1.237220049,181.000000
FR-LBr,44.71709824,-0.769299984,61.000000
FR-Lq1,45.64410019,2.737030029,1040.000000
FR-Lq2,45.6391983,2.737030029,1040.000000
FR-Lus,46.43330002,-0.466670007,62.000000
FR-Pue,43.74140167,3.595829964,270.000000
GF-Guy,5.277699947,-52.92879868,35.000000
GR-Mog,38,22.61669922,840.000000
HU-Bug,46.69110107,19.60129929,140.000000
HU-He1,46.95569229,16.65173531,248.000000
HU-He2,46.95500946,16.6525631,243.000000
HU-Mat,47.84690094,19.72599983,350.000000
ID-Buk,-0.833329976,117.0500031,20.000000
ID-Pag,2.345000029,114.0360031,30.000000
IE-Ca1,52.85879898,-6.918139935,50.000000
IE-Ca2,55.85879898,-6.918139935,58.832000
IE-CLa,52.95000076,-7.25,138.000000
IE-Dri,51.98669815,-8.751810074,187.000000
IE-Kil,51.96839905,-9.900309563,150.000000
IE-Wex,52.2981987,-6.499780178,70.000000
IL-Yat,31.34499931,35.05149841,650.000000
IS-Gun,63.83330154,-20.2166996,78.000000
IT-Amp,41.90409851,13.60519981,884.231000
IT-BCi,40.5237999,14.95740032,20.000000
IT-Be1,46.00360107,13.02750015,47.000000
IT-Be2,46.00310135,13.02569962,47.000000
IT-Bon,39.47779846,16.53470039,1170.000000
IT-Cas,45.06284714,8.668539047,80.000000
IT-Col,41.84939957,13.58810043,1550.000000
IT-Cpz,41.7052002,12.37609959,68.253000
IT-Lav,45.95529938,11.28120041,1353.000000
IT-Lec,43.30459976,11.27060032,314.000000
IT-LMa,45.58129883,7.154630184,350.000000
IT-Mal,46.11669922,11.7027998,1730.000000
IT-MBo,46.0155983,11.04669952,1550.000000
IT-Neg,45.74760056,12.4467001,9.000000
IT-Noe,40.60599899,8.151000023,28.000000
IT-Non,44.68980026,11.08870029,25.000000
IT-Pia,42.58390045,10.07839966,18.000000
IT-PT1,45.20090103,9.061039925,60.000000
IT-Ren,46.58779907,11.43470001,1730.000000
IT-Ro1,42.40810013,11.93000031,234.771000
IT-Ro2,42.39030075,11.92090034,223.903000
IT-Ro3,-999.9,-999.9,-999.900000
IT-Ro4,-999.9,-999.9,-999.900000
IT-SRo,43.7278595,10.28444004,4.000000
IT-Tol,42.18970108,11.92210007,473.615000
IT-Vda,46.19686127,11.11338997,198.000000
IT-Vig,45.31666565,8.850000381,100.000000
JP-Aka,43.11669922,144.3670044,4.000000
JP-App,40,141.5670013,825.000000
JP-Fuj,35.45140076,138.7649994,1030.000000
JP-Hac,34.53329849,133.9329987,1.000000
JP-Hit,42.98680115,141.3849945,180.000000
JP-Hok,42.59999847,141.6000061,-9999.000000
JP-Kah,33.13370132,130.7120056,165.000000
JP-Kwa,35.86930084,139.4902954,26.000000
JP-Mas,36.05397034,140.0269165,12.000000
JP-Shi,33.44279861,135.7590027,50.000000
JP-Tak,36.14619827,137.4230042,1420.000000
JP-Tef,45.05633926,142.1062012,70.000000
JP-Tom,42.73949814,141.5148926,140.000000
KR-Har,37.06669998,126.0329971,-9999.000000
KR-Hnm,34.54999924,126.5699997,4.000000
KR-Kw1,37.74860001,127.163002,330.000000
KR-Kw2,37.73329926,127.1500015,319.000000
KR-Suw,37.26950073,126.9400024,54.000000
KZ-AL1,51.5135994,71.46279907,363.000000
KZ-AL2,51.48360062,71.10469818,418.000000
KZ-AL3,51.58720016,71.00080109,395.000000
KZ-AL4,51.68149948,71.14369965,385.000000
KZ-CW1,51.52750015,71.48280334,365.000000
KZ-CW2,51.48080063,71.11399841,405.000000
KZ-CW3,51.58890152,71.00029755,378.000000
KZ-CW4,51.68280029,71.14769745,385.000000
KZ-VL1,51.50999832,71.45580292,362.000000
KZ-VL2,51.47750092,71.10359955,402.000000
KZ-VL3,51.62329865,70.9693985,378.000000
KZ-VL4,51.67559814,71.15440369,385.000000
KZ-VL5,51.57580185,71.26809692,428.000000
KZ-Wht,51.57360077,71.25969696,425.000000
MN-Inn,43.5,117.4499969,1225.000000
MN-Mag,43.55469894,116.6780014,1258.000000
MX-Cha,19.50930023,-105.0400009,130.000000
MX-Lpa,24.12919998,-110.4380035,21.000000
NL-Ca1,51.97100067,4.927000046,0.700000
NL-Haa,52.00310135,4.805500031,1.000000
NL-Hor,52.02890015,5.067500114,-2.200000
NL-Lan,51.95360184,4.902900219,1.000000
NL-Lel,52.5,5.5,0.000000
NL-Loo,52.16790009,5.743959904,25.000000
NL-Lut,53.39889908,6.355999947,1.000000
NL-Mol,51.65000153,4.638999939,1.000000
NL-Re1,51.90000153,4.5,-3.000000
NL-Re2,51.90000153,4.5,-3.000000
NL-Vre,51.5320015,5.843999863,29.000000
PA-Sa1,9.307749748,-79.63030243,74.000000
PA-Sa2,9.316729546,-79.63490295,74.000000
PL-Bre,40.66669846,18.93330002,660.000000
PL-Pol,48.63330078,19.5333004,796.000000
PL-wet,52.7621994,16.30940056,54.100000
PT-Esp,38.63940048,-8.601799965,95.000000
PT-Mi1,38.54069901,-8.00039959,250.000000
PT-Mi2,38.47650146,-8.024550438,190.000000
PT-Mi3,38.54059982,-8.000060081,264.200000
RU-Che,68.61470032,161.3390045,3.000000
RU-Cok,70.61669922,147.8829956,27.000000
RU-Cuk,65.59480286,171.0529938,183.000000
RU-Fy2,56.44779968,32.90190125,265.000000
RU-Fyo,56.46166992,32.92388916,265.000000
RU-Ha1,54.72529984,90.00219727,432.000000
RU-Ha2,54.77310181,89.95670319,392.000000
RU-Ha3,54.7045517,89.07785034,874.000000
RU-Sam,72.37329865,126.4980011,15.000000
RU-Tuv,50.15000153,94.44999695,946.000000
RU-Ylr,62.25500107,129.6190033,220.000000
RU-Ypn,62.24140167,129.651001,220.000000
RU-Zbe,-999.9,-999.9,-999.900000
RU-Zbo,60.75,89.38330078,96.000000
RU-Zfw,60.75,89.38330078,96.000000
RU-Zme,-999.9,-999.9,-999.900000
RU-Zot,60.80080032,89.35079956,90.000000
RU-Zse,-999.9,-999.9,-999.900000
SD-Dem,13.28289986,30.47830009,500.000000
SE-Abi,68.36238861,18.79475021,351.000000
SE-As2,57.1495018,14.73869991,257.000000
SE-Asa,57.16669846,14.80000019,209.000000
SE-Deg,64.1832962,19.54999924,270.000000
SE-Faj,56.26549911,13.55350018,140.000000
SE-Fla,64.1128006,19.45689964,226.000000
SE-Kno,60.98329926,16.2166996,270.000000
SE-Nor,60.08649826,17.47950363,43.000000
SE-Sk1,60.125,17.91810036,42.000000
SE-Sk2,60.12966919,17.84005928,55.000000
SE-St1,68.36669922,19.04969406,367.000000
SE-St2,68.36669922,19.04999924,360.000000
SK-Pol,48.63330078,19.4666996,1250.000000
SK-Tat,49.12080002,20.16349983,1050.000000
TH-Mae,14.57499981,98.85829926,231.000000
TH-Mix,16.93989944,99.42990112,106.000000
TH-Sak,14.49330044,101.9219971,543.000000
TW-Chn,24.59090042,121.4990005,1650.000000
TW-Hui,24.04249954,121.072998,2000.000000
TW-Nch,24.12059975,120.6780014,83.781000
TW-Tar,24.03120041,120.6880035,55.000000
UK-AMo,55.79169846,-3.238889933,270.000000
UK-Cas,57.23329926,-3.5,390.000000
UK-Cir,52.70000076,-1.983330011,185.000000
UK-EBu,55.86600113,-3.205780029,190.000000
UK-ESa,55.90694046,-2.858609915,97.000000
UK-Gri,56.6072197,-3.79805994,340.000000
UK-Ham,51.15353394,-0.858299971,80.000000
UK-Har,55.21640015,-2.024310112,200.000000
